Product_id,categories,sub_categories,Product Name,Price,Image
10865,Cameras,nikoncamera,"Mirrorless Z7 II Body with 24-70mm Lens with Additional Battery, Optical Zoom, Black",269990.0,https://www.amazon.in/images/I/91i6EgjrAiL._AC_UY218_.jpg
10866,Cameras,nikoncamera,Digital,62999.0,https://www.amazon.in/images/I/31GlYlDlRRL._AC_UY218_.jpg
10867,Cameras,nikoncamera,Fujifilm Instax Mini Evo Hybrid,19999.0,https://www.amazon.in/images/I/61tSR9mjE+L._AC_UL640_QL65_.jpg
10868,Cameras,nikoncamera,COOLPIX B500 Digital,52357.0,https://www.amazon.in/images/I/61Tywf7uJGL._AC_UY218_.jpg
10869,Cameras,nikoncamera,D7500 20.9MP Digital SLR,86999.0,https://www.amazon.in/images/I/613pf1JTs9L._AC_UY218_.jpg
10870,Cameras,nikoncamera,"COOLPIX P1000, Black 125X Optical Zoom",76890.0,https://www.amazon.in/images/I/9196pvn2cvL._AC_UY218_.jpg
10871,Cameras,nikoncamera,Z50 Mirrorless Optical Zoom,72500.0,https://www.amazon.in/images/I/61cBZ5Z+ekL._AC_UY218_.jpg
10872,Cameras,nikoncamera,Z30 Mirrorless,54990.0,https://www.amazon.in/images/I/41a51rKRw5L._AC_UY218_.jpg
10873,Cameras,nikoncamera,Z6 II Mirrorless,176990.0,https://www.amazon.in/images/I/91rYykQZ7yL._AC_UY218_.jpg
10874,Cameras,nikoncamera,"Mirrorless Z fc Body with Z DX 16-50mm f/3.5-6.3 VR [SL] Lens with Additional Battery,",83595.0,https://www.amazon.in/images/I/71ZeOENvuYL._AC_UY218_.jpg
10875,Cameras,nikoncamera,Z 5 w/NIKKOR Z 24-200mm f/4-6.3 VR - Optical Zoom - Black,249999.0,https://www.amazon.in/images/I/91qN+9vxqpL._AC_UY218_.jpg
10876,Cameras,nikoncamera,Z50 Mirrorless,72500.0,https://www.amazon.in/images/I/51mILmbzr4L._AC_UY218_.jpg
10877,Cameras,nikoncamera,"FUJIFILM X-S20 (26 MP, 6.2K 30P, FHD 240P 10x Slo mo, AI Processing,IBIS System, VLOG Mode) with Free TG-BT1 Bluetooth Tripod Hand Grip",110498.0,https://www.amazon.in/images/I/81jM+om8U4L._AC_UY218_.jpg
10878,Cameras,nikoncamera,Fujifilm X-T4 26MP Mirrorless,166499.0,https://www.amazon.in/images/I/91Mt9Zx3+2L._AC_UY218_.jpg
10879,Cameras,nikoncamera,"Mirrorless Z fc Body with NIKKOR Z 28mm f/2.8 [SE] Lens with Additional Battery,",95239.0,https://www.amazon.in/images/I/91qUqC4Z8hL._AC_UY218_.jpg
10880,Cameras,nikoncamera,Z 7 Mirrorless Digital,386888.0,https://www.amazon.in/images/I/91s5RcaiQeL._AC_UY218_.jpg
10881,Cameras,nikoncamera,D850 45.7MP Digital SLR,245990.0,https://www.amazon.in/images/I/81WtQ64-SOL._AC_UY218_.jpg
10882,Cameras,nikoncamera,Z50 Compact Mirrorless Digital,71000.0,https://www.amazon.in/images/I/91tkHspL3ZL._AC_UY218_.jpg
10883,Cameras,nikoncamera,"D780 DSLR Body with 24-120mm VR Lens, 3X Optical Zoom, Black",189029.0,https://www.amazon.in/images/I/811PR9chKyL._AC_UY218_.jpg
10884,Cameras,nikoncamera,"Mirrorless Z6 II Body Only with Additional Battery, Optical Zoom, Black",149139.0,https://www.amazon.in/images/I/61z6uWpSIZS._AC_UY218_.jpg
10885,Cameras,nikoncamera,Z5 Body with Additional Battery Compatible with,97553.0,https://www.amazon.in/images/I/910CSfporaL._AC_UY218_.jpg
10886,Cameras,nikoncamera,Mirrorless Z fc Body Only,75953.0,https://www.amazon.in/images/I/A1jELMiEkVL._AC_UY218_.jpg
10887,Cameras,nikoncamera,FUJIFILM X-T5 Mirrorless,188999.0,https://www.amazon.in/images/I/71chEwoWU0L._AC_UY218_.jpg
10888,Cameras,nikoncamera,FUJIFILM X-H2 Mirrorless,185999.0,https://www.amazon.in/images/I/71FkkXNf3+L._AC_UY218_.jpg
10889,Cameras,nikoncamera,OCULY 100ml (Pack of 2) Spectacle Lens Cleaner with Japanese Microfiber Cloth & Mini Screwdriver | Liquid Cleaning Kit for Antiglare Glasses and Goggles| 100% Made in India | Safe & Eco-Friendly.,349.0,https://www.amazon.in/images/I/71ourUnTJ9L._AC_UL640_QL65_.jpg
10890,Mobiles,samsung,"Galaxy S23 5G (Green, 8GB, 256GB Storage)",79999.0,https://www.amazon.in/images/I/61RZDb2mQxL._AC_UY218_.jpg
10891,Mobiles,samsung,"Galaxy M34 5G (Waterfall Blue, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger",20999.0,https://www.amazon.in/images/I/91L9EF-OEGL._AC_UY218_.jpg
10892,Mobiles,samsung,"Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",8499.0,https://www.amazon.in/images/I/81t6Av5DvXL._AC_UY218_.jpg
10893,Mobiles,samsung,"Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",10999.0,https://www.amazon.in/images/I/812YsUxpyfL._AC_UY218_.jpg
10894,Mobiles,samsung,"Spigen 5in1 10000mAh Wireless Power Bank with USB-A Dual Charging Dock for Airpods and Smartwatches, Lithium Polymer - Black",3499.0,https://www.amazon.in/images/I/51RkHakf1zL._AC_UL640_QL65_.jpg
10895,Mobiles,samsung,"Galaxy M14 5G (Smoky Teal, 6GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | 12GB RAM with RAM Plus | Android 13 | Without Charger",15490.0,https://www.amazon.in/images/I/91zMokvCNuL._AC_UY218_.jpg
10896,Mobiles,samsung,"Galaxy M14 5G (ICY Silver, 6GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | 12GB RAM with RAM Plus | Android 13 | Without Charger",15490.0,https://www.amazon.in/images/I/817WWpaFo1L._AC_UY218_.jpg
10897,Mobiles,samsung,"Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",9499.0,https://www.amazon.in/images/I/81t6Av5DvXL._AC_UY218_.jpg
10898,Mobiles,samsung,"Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",10999.0,https://www.amazon.in/images/I/81Prc5i7hML._AC_UY218_.jpg
10899,Mobiles,samsung,"Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",9499.0,https://www.amazon.in/images/I/814ePfNubRL._AC_UY218_.jpg
10900,Mobiles,samsung,"Galaxy M34 5G (Midnight Blue, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger",20999.0,https://www.amazon.in/images/I/91fonhAtoAL._AC_UY218_.jpg
10901,Mobiles,samsung,"Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger",18499.0,https://www.amazon.in/images/I/81I3w4J6yjL._AC_UY218_.jpg
10902,Mobiles,samsung,"Galaxy M32 Prime Edition (Black, 6GB RAM, 128GB)",15499.0,https://www.amazon.in/images/I/81Jov18YvpL._AC_UY218_.jpg
10903,Mobiles,samsung,"Galaxy M14 5G (Berry Blue, 4GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | Android 13 | Without Charger",14490.0,https://www.amazon.in/images/I/91HRACirFrL._AC_UY218_.jpg
10904,Mobiles,samsung,"Galaxy S23 Ultra 5G (Green, 12GB, 512GB Storage)",134999.0,https://www.amazon.in/images/I/61VfL-aiToL._AC_UY218_.jpg
10905,Mobiles,samsung,"Galaxy A34 5G (Awesome Violet, 8GB, 128GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger",30999.0,https://www.amazon.in/images/I/71669TpsvKL._AC_UY218_.jpg
10906,Mobiles,samsung,"Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",11499.0,https://www.amazon.in/images/I/81Prc5i7hML._AC_UY218_.jpg
10907,Mobiles,samsung,"Galaxy M34 5G (Waterfall Blue, 6GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 12GB RAM with RAM Plus | Android 13 | Without Charger",18999.0,https://www.amazon.in/images/I/91L9EF-OEGL._AC_UY218_.jpg
10908,Mobiles,samsung,"Galaxy M14 5G (ICY Silver, 4GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | Android 13 | Without Charger",14490.0,https://www.amazon.in/images/I/817WWpaFo1L._AC_UY218_.jpg
10909,Mobiles,samsung,"Galaxy A14 5G (Light Green, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger",17999.0,https://www.amazon.in/images/I/81AXMzLVMjL._AC_UY218_.jpg
10910,Mobiles,samsung,"Galaxy S10 Plus (Prism Blue, 8GB RAM, 128GB Storage)",37490.0,https://www.amazon.in/images/I/61fv4VZRQ7L._AC_UY218_.jpg
10911,Mobiles,samsung,"Galaxy A14 5G (Black, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger",17999.0,https://www.amazon.in/images/I/81eYTNOOZvL._AC_UY218_.jpg
10912,Mobiles,samsung,"Galaxy A13 Black, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FZKJINS)",15998.0,https://www.amazon.in/images/I/81H6vveSIZL._AC_UY218_.jpg
10913,Mobiles,samsung,"Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately",32999.0,https://www.amazon.in/images/I/71669TpsvKL._AC_UY218_.jpg
